Division,PollingPlaceNm,PremisesNm,PremisesAddress,PremisesSuburb
Lyons,Avoca,Avoca War Memorial Hall,3 Falmouth St,Avoca
Lyons,Bagdad,Bagdad Primary School,46-48 School Rd,Bagdad
Lyons,Bicheno,Bicheno War Memorial Hall,78 Burgess St,Bicheno
Lyons,Bothwell,Bothwell Town Hall,Alexander St,Bothwell
Lyons,Bracknell,Bracknell Boys & Girls Club Building,29 Louisa St,Bracknell
Lyons,Bridgewater,JRLF Senior School,55 Eddington St,Bridgewater
Lyons,Brighton,Brighton Primary School,27 Downie St,Brighton
Lyons,Broadmarsh,Broadmarsh Fire Station,1218 Elderslie Rd,Broadmarsh
Lyons,Campania,Campania Hall,45 Reeve St,Campania
Lyons,Campbell Town,Campbell Town Town Hall,75 High St,Campbell Town
Lyons,Carrick,Carrick Public Hall,29 Meander Valley Rd,Carrick
Lyons,Chudleigh,Chudleigh Memorial Hall,54 Sorell St,Chudleigh
Lyons,Claude Road,Claude Road Memorial Hall,787 Claude Rd,Claude Road
Lyons,Colebrook,Colebrook Memorial Hall,45 Richmond St,Colebrook
Lyons,Coles Bay,Coles Bay Community Hall,Harold St,Coles Bay
Lyons,Copping,Copping Hall,69 Allanby St,Copping
Lyons,Cressy,Cressy Community Hall,67 Main St,Cressy
Lyons,Deloraine,Deloraine High School Hall,24 Lansdowne Pl,Deloraine
Lyons,Dodges Ferry,Dodges Ferry Community Recreation Centre,532 Old Forcett Rd,Dodges Ferry
Lyons,Dromedary,Dromedary (Millvale) Community Hall,14 Millvale Rd,Dromedary
Lyons,Dunalley,Dunalley Community Hall,5 Franklin St,Dunalley
Lyons,Elizabeth Town,Elizabeth Town Fire Station,5816 Bass Hwy,Elizabeth Town
Lyons,Epping,Epping Forest Public Hall,13515 Midland Hwy,Epping Forest
Lyons,Evandale,Evandale Primary School,5/8 Barclay St,Evandale
Lyons,Fingal,Fingal Neighbourhood House,20 Talbot Street,Fingal
Lyons,Gagebrook,Gagebrook Primary School,4 Tottenham Rd,Gagebrook
Lyons,Glenora,Glenora District High School,620 Gordon River Rd,Glenora
Lyons,Granton,Granton Memorial Hall,Lyell Hwy,Granton
Lyons,Hadspen,Hadspen Uniting Church Centre,47 Main St,Hadspen
Lyons,Hagley,Hagley Farm Primary School,2508 Meander Valley Rd,Hagley
Lyons,Kempton,Kempton Council Chambers,85 Main St,Kempton
Lyons,Lachlan,Lachlan Community Hall,511 Lachlan Rd,Lachlan
Lyons,Longford,Longford Primary School,Catherine & William Sts,Longford
Lyons,Lower Barrington,Lower Barrington Public Hall,1027 Sheffield Rd,Lower Barrington
Lyons,Magra,Magra CWA Building,Back River Rd,Magra
Lyons,Meander,Meander Memorial Hall,124 Main Rd,Meander
Lyons,Midway Point,Midway Point Community Hall,Raynors Rd,Midway Point
Lyons,Miena,Great Lake Community Centre,55-57 Cider Gum Rd,Miena
Lyons,Mole Creek,Mole Creek Primary School,4 Caveside Rd,Mole Creek
Lyons,Molesworth,Molesworth Community Hall,560 Molesworth Rd,Molesworth
Lyons,New Norfolk North,Fairview Primary School,211 Back River Rd,New Norfolk
Lyons,New Norfolk,New Norfolk Primary School,8 Pioneer Ave,New Norfolk
Lyons,Nubeena,Tasman Civic Centre,21 Clarke St,Nubeena
Lyons,Oatlands,Oatlands District High School,27 Church St,Oatlands
Lyons,Old Beach,Old Beach Community Centre,Jetty Rd,Old Beach
Lyons,Orford,Orford Primary School,35 Charles St,Orford
Lyons,Ouse,Ouse Online Access Centre,6947 Lyell Hwy,Ouse
Lyons,Perth,Perth Community Centre,173 Fairtlough St,Perth
Lyons,Pontville,Pontville Memorial Hall,244 Brighton Rd,Pontville
Lyons,Primrose Sands,Primrose Sands Community Hall,570 Primrose Sands Rd,Primrose Sands
Lyons,Prospect,Prospect High School,30-32 Ralph St,Prospect
Lyons,Prospect Vale,Residential Retirement Village Clubrooms,12 Casino Rise,Prospect Vale
Lyons,Railton,Sheffield School (Railton Campus),94 Foster St,Railton
Lyons,Richmond,Richmond Primary School,Commercial Rd,Richmond
Lyons,Ross,Ross Town Hall,12 Bridge St,Ross
Lyons,Scamander,Scamander Sports Complex,Coach Rd,Scamander
Lyons,Sheffield,Sheffield School,12 Henry St,Sheffield
Lyons,Sorell,Sorell Memorial Hall,49 Cole St,Sorell
Lyons,St Helens,Portland Memorial Hall,39 Cecilia St,St Helens
Lyons,St Marys,St Marys Community Hall,23 Main St,St Marys
Lyons,Swansea,Swansea Town Hall,12 Franklin St,Swansea
Lyons,Taranna,Tasman Community Centre,33 Amy St,Taranna
Lyons,Tea Tree,Tea Tree Community Hall,596 Tea Tree Rd,Tea Tree
Lyons,Triabunna,Triabunna Hall,3 Vicary St,Triabunna
Lyons,Tunnack,Tunnack Public Hall,Tunnack Rd,Tunnack
Lyons,Westbury,Westbury Town Hall,26 Lyall St,Westbury
Lyons,Westerway,Westerway Primary School,1619 Gordon River Rd,Westerway
Lyons,Wilmot,Wilmot Primary School,61 Main Rd,Wilmot