PollingPlaceNm,DivisionNm,GreensVotes_2018,TotalVotes_2018,GreensPercentage_2018,SwingPercentage,PremisesNm_2018,PremisesAddress_2018,Latitude,Longitude,LegCo,LocalCouncil
Blessington Upper,Bass,6,57,10.5,-2.6,North Esk Memorial Hall,"3132 Blessington Rd, BLESSINGTON 7212",-41.48243,147.50494,Windermere,Launceston City
Branxholm,Bass,13,180,7.2,-4.2,Branxholm Community Hall,"Stoke St, BRANXHOLM 7261",-41.165606,147.73648,McIntyre,Dorset
Bridport,Bass,55,1077,5.1,-1.7,Bridport Hall,"Main St, BRIDPORT 7262",-41.0026,147.395,McIntyre,Dorset
Derby,Bass,28,105,26.7,10.9,Derby Town Hall,"1 Krushka St, DERBY 7264",-41.14933,147.80236,McIntyre,Dorset
Dilston,Bass,96,675,14.2,-4.6,Dilston War Memorial Hall,"308 John Lees Dr, DILSTON 7252",-41.3368,147.082,Windermere,Launceston City
East Launceston,Bass,219,1242,17.6,-7.7,East Launceston Primary School,"18 Mary St, EAST LAUNCESTON 7250",-41.44144,147.151372,Launceston,Launceston City
Five Ways,Bass,145,1130,12.8,-1.9,St Mark's Church Hall,"6 Hobart Rd, SOUTH LAUNCESTON 7249",-41.45908,147.15402,Launceston,Launceston City
George Town,Bass,102,1705,6.0,-2.3,George Town Memorial Hall,"29-67 Macquarie St, GEORGE TOWN 7253",-41.106907,146.821868,Windermere,George Town
George Town South,Bass,33,896,3.7,-2.8,South George Town Primary School,"Franklin St, GEORGE TOWN 7253",-41.1124,146.833,Windermere,George Town
Gladstone,Bass,12,174,6.9,-4.3,Gladstone Hall,"1 Carr St, GLADSTONE 7264",-40.9601,148.008,McIntyre,Dorset
Hadspen,Lyons,55,1203,4.6,-1.5,Hadspen Uniting Church Centre,"47 Main St, HADSPEN 7290",-41.5064,147.064,Launceston,Meander Valley
Hillwood,Bass,48,458,10.5,-6.6,Hillwood Memorial Hall,"280 Hillwood Jetty Rd, HILLWOOD 7252",-41.236252,146.974945,Windermere,George Town
Inveresk,Bass,154,1155,13.3,-1.9,Invermay Primary School,"35-43 Mayne St, INVERMAY 7248",-41.421676,147.131233,Windermere,Launceston City
Invermay,Bass,133,1165,11.4,-3.4,St Finn Barr's School,"247 Invermay Rd, INVERMAY 7248",-41.4157,147.132,Windermere,Launceston City
Karoola,Bass,29,333,8.7,-4.5,Karoola Hall,"1126 Pipers River Rd, KAROOLA 7267",-41.2539,147.148,Windermere,Launceston City
Kings Meadows,Bass,140,2119,6.6,-2.4,YMCA Centre,"8A Blaydon St, KINGS MEADOWS 7249",-41.4677,147.16,Launceston,Launceston City
Lady Barron,Bass,10,125,8.0,-2.9,Holloway Park Building,"Barr St, LADY BARRON 7255",-40.2105,148.24342,McIntyre,Flinders
Launceston,Bass,236,1084,21.8,-1.9,Pilgrim Hall,"36 Paterson St, LAUNCESTON 7250",-41.4366,147.137,Launceston,Launceston City
Launceston Central,Bass,205,979,20.9,-2.0,Chalmers Hall,"163 St John St, LAUNCESTON 7250",-41.441,147.14205,Launceston,Launceston City
Lebrina,Bass,20,210,9.5,-5.6,Lebrina Memorial Hall,"905 Golconda Rd, LEBRINA 7254",-41.1773,147.228,Windermere,Launceston City
Legana (Bass),Bass,146,1954,7.5,-4.7,Legana Memorial Hall,"43 Fulton St, LEGANA 7277",-41.3632,147.047,Rosevears,West Tamar
Lilydale,Bass,95,674,14.1,-7.7,Lilydale Memorial Hall,"1949 Main Rd, LILYDALE 7268",-41.2523,147.216,Windermere,Launceston City
Mowbray,Bass,91,889,10.2,0.6,Launceston Church Grammar School,"36 Button St, MOWBRAY 7248",-41.40814,147.131059,Windermere,Launceston City
Newnham,Bass,140,2672,5.2,-2.4,Launceston North Uniting Church,"128-132 George Town Rd, NEWNHAM 7248",-41.3873,147.128,Windermere,Launceston City
Newstead,Bass,277,2167,12.8,-4.2,Police Citizens & Youth Club,"148 Abbott St, NEWSTEAD 7250",-41.4472,147.157,Launceston,Launceston City
Norwood,Bass,169,2306,7.3,-2.2,Norwood Primary School,"103 Norwood Ave, NORWOOD 7250",-41.4621,147.174,Launceston,Launceston City
Nunamara,Bass,28,296,9.5,-7.6,Nunamara Memorial Hall,"39461 Tasman Hwy, NUNAMARA 7259",-41.394,147.296,Windermere,Launceston City
Pipers River,Bass,19,210,9.0,-2.9,Pipers River Fire Station,"76 School Rd, PIPERS RIVER 7252",-41.1006,147.091,Windermere,George Town
Prospect,Bass,88,2048,4.3,-2.6,St Patrick's College,"282 Westbury Rd, PROSPECT 7250",-41.472,147.126,Rosevears,Launceston City
Prospect Vale,Lyons,60,1214,4.9,-3.1,Residential Retirement Village Clubrooms,"12 Casino Rise, PROSPECT VALE 7250",-41.4782,147.11,Launceston,Meander Valley
Ravenswood,Bass,76,1564,4.9,-3.2,Ravenswood Primary School,"27 Prossers Forest Rd, RAVENSWOOD 7250",-41.415955,147.179654,Windermere,Launceston City
Ringarooma,Bass,10,301,3.3,-4.8,Ringarooma Hall,"4 Charles St, RINGAROOMA 7263",-41.24241,147.73568,McIntyre,Dorset
Riverside,Bass,204,2215,9.2,-4.5,Riverside High School,"354 West Tamar Hwy, RIVERSIDE 7250",-41.40936,147.09861,Rosevears,West Tamar
Riverside West,Bass,101,1419,7.1,-5.4,Trevallyn Life Church,"34 Pitt Ave, TREVALLYN 7250",-41.4301,147.106,Rosevears,West Tamar
Rocherlea,Bass,20,701,2.9,-2.8,Brooks High School,"215 George Town Rd, ROCHERLEA 7248",-41.378531,147.121503,Windermere,Launceston City
Scottsdale,Bass,39,1187,3.3,-0.9,St Barnabas' Church Hall,"55 King St, SCOTTSDALE 7260",-41.16255,147.51491,McIntyre,Dorset
South Launceston,Bass,107,704,15.2,-2.2,Launceston RSL,"313-315 Wellington St, LAUNCESTON 7250",-41.45296,147.14393,Rosevears,Launceston City
St Leonards,Bass,63,1224,5.1,-1.9,St Leonards Primary School,"330-342 St Leonards Rd, ST LEONARDS 7250",-41.4597,147.2,Windermere,Launceston City
Summerhill,Bass,189,2976,6.4,-1.0,Summerdale Community Centre,"82-84 Stanley St, SUMMERHILL 7250",-41.4683,147.12971,Rosevears,Launceston City
Trevallyn,Bass,385,1592,24.2,-4.6,Trevallyn Primary School,"55 Gorge Rd, TREVALLYN 7250",-41.4381,147.115,Rosevears,West Tamar
Waverley,Bass,36,838,4.3,-3.4,Waverley School Hall,"6 Naroo St, WAVERLEY 7250",-41.4321,147.19,Windermere,Launceston City
West Launceston,Bass,365,1663,21.9,-5.6,West Launceston Primary School,"24-38 Basin Rd, WEST LAUNCESTON 7250",-41.4492,147.129,Rosevears,Launceston City
Weymouth,Bass,9,166,5.4,-8.2,Weymouth Hall,"18 Major St, WEYMOUTH 7252",-41.0153,147.154,Windermere,George Town
Whitemark,Bass,54,335,16.1,-2.8,Lions Club,"1 James St, WHITEMARK 7255",-40.1214,148.019,McIntyre,Flinders
Winnaleah,Bass,11,181,6.1,0.3,Winnaleah Memorial Hall,"20 Main St, WINNALEAH 7265",-41.0979,147.824,McIntyre,Dorset
Youngtown,Bass,61,1491,4.1,-3.9,Youngtown Primary School,"Victoria St, YOUNGTOWN 7249",-41.4823,147.164,Launceston,Launceston City
Abbotsham,Braddon,9,164,5.5,-0.5,Abbotsham Hall,"590 Castra Rd, ABBOTSHAM 7315",-41.2135,146.174,Montgomery,Central Coast
Acton,Braddon,30,1352,2.2,-1.8,Burnie Child and Family Centre,"36 Thorne St, ACTON 7320",-41.07264,145.89229,Montgomery,Burnie City
Boat Harbour,Braddon,32,473,6.8,-9.0,Boat Harbour Primary School,"17386 Bass Hwy, BOAT HARBOUR 7321",-40.9452,145.636,Murchison,Waratah-Wynyard
Burnie,Braddon,67,1388,4.8,-4.6,Burnie City Council Offices,"80 Wilson St, BURNIE 7320",-41.0532,145.906,Murchison,Burnie City
Calder,Braddon,2,143,1.4,-9.8,Calder Hall,"1320 Calder Rd, CALDER 7325",-41.0685,145.631,Murchison,Waratah-Wynyard
Cooee,Braddon,31,913,3.4,-3.5,Cooee Primary School,"30 Fidler St, COOEE 7320",-41.04076,145.86801,Murchison,Burnie City
Currie,Braddon,76,696,10.9,2.2,Currie Town Hall,"10 George St, CURRIE 7256",-39.9298,143.855,Murchison,King Island
Devonport Central,Braddon,75,1815,4.1,-4.4,St Johns Parish Hall,"Fenton St, DEVONPORT 7310",-41.178994,146.358274,Mersey,Devonport City
Devonport North West,Braddon,84,2431,3.5,-4.1,Nixon Street Primary School,"60 Nixon St, DEVONPORT 7310",-41.1728,146.337,Mersey,Devonport City
Devonport South,Braddon,41,1342,3.1,-2.1,Reece High School,"41-43 Middle Rd, DEVONPORT 7310",-41.1893,146.349,Mersey,Devonport City
Devonport West,Braddon,22,1178,1.9,-2.2,TasTafe,"20-36 Valley Rd, DEVONPORT 7310",-41.1864,146.345,Mersey,Devonport City
Don,Braddon,45,1202,3.7,-3.8,Don Memorial Hall,"17 Forth Rd, DON 7310",-41.1827,146.318,Mersey,Devonport City
East Devonport,Braddon,50,2033,2.5,-2.4,East Devonport Primary School,"19-21 Thomas St, EAST DEVONPORT 7310",-41.1779,146.372,Mersey,Devonport City
Edith Creek,Braddon,2,157,1.3,-3.7,Edith Creek Primary School,"1282 Trowutta Rd, EDITH CREEK 7330",-40.9705,145.092,Murchison,Circular Head
Elliott,Braddon,11,386,2.8,-3.9,Elliott Community Centre,"829 Murchison Hwy, ELLIOTT 7325",-41.0922,145.782,Murchison,Waratah-Wynyard
Forest,Braddon,3,383,0.8,-1.9,Forest Primary School,"422 Mengha Rd, FOREST 7330",-40.8486,145.248,Murchison,Circular Head
Forth,Braddon,44,682,6.5,-7.7,Forth Primary School,"45 Wilmot Rd, FORTH 7310",-41.192921,146.248975,Montgomery,Central Coast
Gawler,Braddon,14,466,3.0,-1.6,Gawler Hall,"15 Top Gawler Rd, GAWLER 7315",-41.1852,146.16,Montgomery,Central Coast
Grassy,Braddon,14,120,11.7,2.9,Grassy Club,"10 Grassy Rd, GRASSY 7256",-40.0484,144.058,Murchison,King Island
Havenview,Braddon,13,440,3.0,-0.1,Havenview Primary School,"15 Marriott St, HAVENVIEW 7320",-41.0836,145.911,Montgomery,Burnie City
Heybridge,Braddon,9,266,3.4,-2.8,Blythe Heads Hall,"Sice Ave, HEYBRIDGE 7316",-41.0751,145.986,Montgomery,Central Coast
Highclere,Braddon,3,135,2.2,-2.0,Highclere Community Centre,"1558 Ridgley Hwy, HIGHCLERE 7321",-41.1904,145.806,Montgomery,Burnie City
Irishtown,Braddon,1,326,0.3,-1.1,Irishtown Lodge Arthur Temple,"604 Irishtown Rd, IRISHTOWN 7330",-40.9133,145.145,Murchison,Circular Head
Latrobe,Braddon,59,2295,2.6,-2.8,Latrobe Primary School,"23 Lewis St, LATROBE 7307",-41.239619,146.416013,Mersey,Latrobe
Marrawah,Braddon,6,219,2.7,-5.4,Marrawah Memorial Hall,"844 Comeback Rd, MARRAWAH 7330",-40.9229,144.697,Murchison,Circular Head
Melrose,Braddon,12,227,5.3,-8.8,Melrose Memorial Hall,"673 Melrose Rd, MELROSE 7310",-41.2417,146.289,Mersey,Devonport City
Montello,Braddon,30,1128,2.7,-2.6,Montello Primary School,"83 Bird St, MONTELLO 7320",-41.0605,145.898,Murchison,Burnie City
Moorleah,Braddon,9,183,4.9,-13.4,Moorleah Community Centre,"720 Preolenna Rd, MOORLEAH 7321",-40.981,145.616,Murchison,Waratah-Wynyard
Natone,Braddon,9,134,6.7,-1.8,Natone Primary School,"100 Upper Natone Rd, NATONE 7321",-41.1701,145.922,Montgomery,Burnie City
North Motton,Braddon,17,291,5.8,-7.9,North Motton Hall,"578 Preston Rd, NORTH MOTTON 7315",-41.20637,146.10937,Montgomery,Central Coast
Penguin,Braddon,105,1982,5.3,-5.9,Penguin Uniting Church Hall,"50 Main Rd, PENGUIN 7316",-41.112,146.071,Montgomery,Central Coast
Preston,Braddon,9,116,7.8,-7.8,Preston Community Centre,"1833 Preston Rd, PRESTON 7315",-41.2972,146.062,Montgomery,Central Coast
Queenstown,Braddon,24,729,3.3,-2.2,West Coast Community Services Hub,"Hunter St, QUEENSTOWN 7467",-42.078959,145.555963,Murchison,West Coast
Riana,Braddon,10,197,5.1,-3.2,Riana Community Centre,"1221 Pine Rd, RIANA 7316",-41.2015,145.999,Montgomery,Central Coast
Ridgley,Braddon,15,615,2.4,-0.9,Ridgley Primary School,"904 Ridgley Hwy, RIDGLEY 7321",-41.1398,145.837,Montgomery,Burnie City
Rocky Cape,Braddon,7,401,1.7,-4.1,Rocky Cape Public Hall,"19074 Bass Hwy, ROCKY CAPE 7321",-40.905,145.487,Murchison,Circular Head
Romaine,Braddon,20,1288,1.6,-1.7,Romaine Park Primary School,"cnr Roslyn Ave & Mount St, ROMAINE 7320",-41.076634,145.899584,Montgomery,Burnie City
Rosebery,Braddon,4,298,1.3,-2.1,Rosebery Neighbourhood Centre,"8 Agnes St, ROSEBERY 7470",-41.779832,145.539126,Murchison,West Coast
Shorewell Park,Braddon,34,1079,3.2,-3.4,Hellyer College,"41-43 Mooreville Rd, SHOREWELL PARK 7320",-41.06128,145.88153,Murchison,Burnie City
Sisters Beach,Braddon,15,224,6.7,-7.1,Sisters Beach Fire Station,"34 Honeysuckle Ave, SISTERS BEACH 7321",-40.9181,145.565,Murchison,Waratah-Wynyard
Sisters Creek,Braddon,15,132,11.4,-10.2,Myalla Community Centre,"29 Myalla Rd, Sisters Creek 7325",-40.964904,145.572884,Murchison,Waratah-Wynyard
Smithton,Braddon,19,1542,1.2,-0.9,Smithton Primary School,"27-43 Grant St, SMITHTON 7330",-40.849445,145.116059,Murchison,Circular Head
Somerset,Braddon,35,1591,2.2,-3.5,Somerset Primary School,"30A Beaufort St, SOMERSET 7322",-41.038182,145.819344,Murchison,Waratah-Wynyard
South Riana,Braddon,8,186,4.3,-6.2,South Riana Hall,"776 South Riana Rd, SOUTH RIANA 7316",-41.2345,145.977,Montgomery,Central Coast
Sprent,Braddon,10,192,5.2,-3.1,Sprent Primary School,"1245 Castra Rd, SPRENT 7315",-41.2627,146.16,Montgomery,Central Coast
Spreyton,Braddon,44,1540,2.9,-2.4,Spreyton Primary School,"1 Mersey Main Rd, SPREYTON 7310",-41.21207,146.34434,Mersey,Devonport City
Stanley,Braddon,22,395,5.6,-4.9,Stanley Primary School,"28 Pearse St, STANLEY 7331",-40.7603,145.291,Murchison,Circular Head
Stowport,Braddon,6,268,2.2,-4.9,Stowport Public Hall,"580 Stowport Rd, STOWPORT 7321",-41.1124,145.929,Montgomery,Burnie City
Strahan,Braddon,12,397,3.0,-2.2,Strahan Primary School,"2 Bay St, STRAHAN 7468",-42.154043,145.320404,Murchison,West Coast
Sulphur Creek,Braddon,23,705,3.3,-5.6,Sulphur Creek Hall,"310 Preservation Dr, SULPHUR CREEK 7316",-41.0935,146.026,Montgomery,Central Coast
Tullah,Braddon,5,117,4.3,-0.3,Tullah Community Hall,"24 Farrell St, TULLAH 7321",-41.737568,145.616076,Murchison,West Coast
Turners Beach,Braddon,31,896,3.5,-5.5,Turners Beach Hall,"Henry St, TURNERS BEACH 7315",-41.1589,146.244,Montgomery,Central Coast
Ulverstone Central,Braddon,44,1095,4.0,-2.7,Ulverstone Senior Citizens Club,"16 King Edward St, ULVERSTONE 7315",-41.15507,146.171931,Montgomery,Central Coast
Ulverstone East,Braddon,23,948,2.4,-5.4,East Ulverstone Primary School,"18 Crawford St, ULVERSTONE 7315",-41.1546,146.192,Montgomery,Central Coast
Ulverstone South,Braddon,84,2328,3.6,-2.8,Ulverstone High School,"38 Leven St, ULVERSTONE 7315",-41.16201,146.17091,Montgomery,Central Coast
Waratah,Braddon,3,142,2.1,-1.9,Waratah Municipal Chambers,"12-14 Smith St, WARATAH 7321",-41.44422,145.5313,Murchison,Waratah-Wynyard
West Ulverstone,Braddon,49,1616,3.0,-2.7,West Ulverstone Primary School,"34 Maud St, WEST ULVERSTONE 7315",-41.1482,146.16,Montgomery,Central Coast
Wivenhoe,Braddon,14,525,2.7,-4.9,Leighland Christian School (Wivenhoe Campus),"Stowport Rd, WIVENHOE 7320",-41.06904,145.93609,Montgomery,Burnie City
Wynyard Central,Braddon,70,2151,3.3,-5.5,Wynyard Senior Citizens Club Rooms,"28 Jackson St, WYNYARD 7325",-40.9909,145.729,Murchison,Waratah-Wynyard
Wynyard West,Braddon,43,1314,3.3,-5.3,Wynyard High School,"30 Church St, WYNYARD 7325",-40.9867,145.717,Murchison,Waratah-Wynyard
Yolla,Braddon,8,358,2.2,-6.4,Yolla District High School,"School Lane, YOLLA 7325",-41.1237,145.719,Murchison,Waratah-Wynyard
Zeehan,Braddon,11,352,3.1,-0.3,Zeehan Primary School,"7 Belstead St, ZEEHAN 7469",-41.888,145.34,Murchison,West Coast
Austins Ferry,Clark,68,1519,4.5,-1.1,St Virgil's College,"195 Main Rd, AUSTINS FERRY 7011",-42.774487,147.251105,Derwent,Glenorchy City
Battery Point,Clark,197,833,23.6,-9.8,10th Hobart Scout Hall,"Marieville Esp, SANDY BAY 7004",-42.896023,147.333912,Hobart,Hobart City
Battery Point West,Clark,202,808,25.0,-7.5,Albuera Street Primary School,"10A Albuera St, BATTERY POINT 7004",-42.8912,147.326,Hobart,Hobart City
Cascades,Clark,494,1148,43.0,-7.4,Badminton Association Centre,"101 Cascade Rd, SOUTH HOBART 7004",-42.895023,147.299845,Hobart,Hobart City
Chigwell,Clark,59,1184,5.0,-2.2,Chigwell Barn,"10 Bucaan St, CHIGWELL 7011",-42.811194,147.241655,Derwent,Glenorchy City
Claremont,Clark,143,2559,5.6,-1.9,Claremont Girl Guides Hall,"3 Boxhill Rd, CLAREMONT 7011",-42.792307,147.255999,Derwent,Glenorchy City
Collinsvale,Clark,44,347,12.7,-6.3,Collinsvale Primary School,"508 Collinsvale Rd, COLLINSVALE 7012",-42.8367,147.198,Elwick,Glenorchy City
Dynnyrne,Clark,279,1057,26.4,-6.9,Princes Street Primary School,"Randall St, SANDY BAY 7005",-42.8984,147.319,Nelson,Hobart City
Fern Tree,Clark,260,541,48.1,-8.1,Fern Tree Fire Station,"7 Summerleas Rd, FERN TREE 7054",-42.923248,147.260441,Hobart,Hobart City
Glenorchy,Clark,200,2769,7.2,-1.4,Glenorchy Primary School,"Kensington St, GLENORCHY 7010",-42.832391,147.266343,Elwick,Glenorchy City
Glenorchy Central,Clark,124,1351,9.2,1.1,St Matthews Church,"Cnr Tolosa St and Main Rd, GLENORCHY 7010",-42.833066,147.274292,Elwick,Glenorchy City
Goodwood,Clark,29,510,5.7,-1.4,Goodwood Primary School,"Elmsleigh Rd, MOONAH 7009",-42.831689,147.293744,Elwick,Glenorchy City
Hobart City,Clark,267,825,32.4,-1.3,Hobart Voting Centre,"144 Macquarie St, HOBART 7000",-42.885224,147.327458,Hobart,Hobart City
Kingston (Clark),Clark,112,564,19.9,-3.9,Kingborough Council,"15 Channel Hwy, KINGSTON 7050",-42.975418,147.31165,Nelson,Kingborough
Lenah Valley,Clark,474,2561,18.5,-1.3,Lenah Valley Primary School,"11 Creek Rd, LENAH VALLEY 7008",-42.8612,147.29,Elwick,Hobart City
Lower Sandy Bay,Clark,203,1427,14.2,-4.0,Sandy Bay Infant School,"568 Sandy Bay Rd, SANDY BAY 7005",-42.909594,147.34935,Nelson,Hobart City
Lutana,Clark,130,945,13.8,0.3,Southern ITF Taekwon-Do,"12 Ashbolt Cres, LUTANA 7009",-42.843166,147.309154,Elwick,Glenorchy City
Merton,Clark,118,1678,7.0,-1.4,Tolosa Hall,"148 Tolosa St, GLENORCHY 7010",-42.8455,147.265,Elwick,Glenorchy City
Moonah,Clark,210,1542,13.6,-0.8,Salvation Army Community Centre,"73 Hopkins St, MOONAH 7009",-42.845951,147.296066,Elwick,Glenorchy City
Moonah East,Clark,187,1276,14.7,-2.5,Bowen Road Primary School,"35 Bowen Rd, MOONAH 7009",-42.8474,147.308,Elwick,Glenorchy City
Moonah North,Clark,187,1560,12.0,-4.2,Moonah Primary School,"40 Derwent Park Rd, MOONAH 7009",-42.838,147.296,Elwick,Glenorchy City
Mount Nelson,Clark,313,1329,23.6,-6.1,Mt Nelson Primary School,"388 Nelson Rd, MOUNT NELSON 7007",-42.9136,147.323,Nelson,Hobart City
Mount Stuart,Clark,234,949,24.7,-1.5,Mt Stuart Primary School,"106 Gillon Cres, MOUNT STUART 7000",-42.875,147.299,Hobart,Hobart City
New Town,Clark,252,1165,21.6,-6.6,The Friends School,"393 Argyle St, NORTH HOBART 7000",-42.867,147.316,Hobart,Hobart City
New Town West,Clark,344,1933,17.8,-7.3,Sacred Heart College,"67 Clare St, NEW TOWN 7008",-42.8615,147.304,Hobart,Hobart City
North Hobart Central,Clark,427,1561,27.4,-6.4,Hobart North Uniting Church,"2 Swan St, NORTH HOBART 7000",-42.8728,147.314,Hobart,Hobart City
